S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
232,21BQ1A05N3,CSE,D,C,C,E,F,A,A,C,COMPLETED,COMPLETED,5.77,6.0
233,21BQ1A05N4,CSE,A,C,B,D,C,C,A,A+,COMPLETED,COMPLETED,7.69,7.96
234,21BQ1A05N5,CSE,E,D,F,E,C,B,A,B,COMPLETED,COMPLETED,5.46,5.73
235,21BQ1A05N6,CSE,E,C,C,C,D,B,A,B,COMPLETED,COMPLETED,6.85,5.88
236,21BQ1A05N7,CSE,A,B,B,B,B,C,A+,A+,COMPLETED,COMPLETED,8.38,8.46
237,21BQ1A05N8,CSE,A+,C,A,A,B,B,A+,A+,COMPLETED,COMPLETED,8.77,8.69
238,21BQ1A05N9,CSE,A+,C,A,C,C,B,A+,A+,COMPLETED,COMPLETED,8.31,8.38
239,21BQ1A05O0,CSE,A+,B,A+,A,A,A,A+,A+,COMPLETED,COMPLETED,9.31,9.19
240,21BQ1A05O1,CSE,A,B,A,C,B,A,A+,A+,COMPLETED,COMPLETED,8.54,8.88
241,21BQ1A05O2,CSE,A+,C,A+,D,D,B,A+,A+,COMPLETED,COMPLETED,8.15,8.65
242,21BQ1A05O3,CSE,D,C,B,D,E,A,A,A+,COMPLETED,COMPLETED,7.08,7.15
243,21BQ1A05O4,CSE,F,F,F,F,F,C,B,C,COMPLETED,COMPLETED,1.69,2.92
244,21BQ1A05O5,CSE,B,C,B,C,D,A,A,A+,COMPLETED,COMPLETED,7.69,8.12
245,21BQ1A05O6,CSE,A,B,A,B,A,A,A+,A+,COMPLETED,COMPLETED,8.85,9.04
246,21BQ1A05O7,CSE,A,C,A+,D,E,A,A+,A+,COMPLETED,COMPLETED,7.92,8.27
247,21BQ1A05O8,CSE,F,E,F,F,F,A,B,C,COMPLETED,COMPLETED,2.62,3.5
248,21BQ1A05O9,CSE,A,B,A,C,D,B,A+,A+,COMPLETED,COMPLETED,8.15,8.62
249,21BQ1A05P0,CSE,A,C,B,B,B,B,A+,A+,COMPLETED,COMPLETED,8.31,8.77
250,21BQ1A05P1,CSE,C,C,D,C,E,A,A,A+,COMPLETED,COMPLETED,7.08,7.73
251,21BQ1A05P2,CSE,B,C,B,D,D,A,A,A,COMPLETED,COMPLETED,7.46,7.69
252,21BQ1A05P3,CSE,A+,A,A+,C,B,A,A+,A+,COMPLETED,COMPLETED,9.0,8.96
253,21BQ1A05P4,CSE,A+,A,A+,C,B,B,A+,A+,COMPLETED,COMPLETED,8.92,8.88
